n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
76,77,76,ER,gauss,0,l2,17.7540551,17.7540551,17.75436072,17.7554184,2.47E-09,81.6973246,81.6973246,81.6973246,81.6973246,-1.42E-14,38.01641483,38.01641483,38.01641483,38.01641483,0
77,78,77,ER,gauss,0,l2,17.36555834,17.36555834,17.36900561,17.3765342,8.30E-09,62.80484825,62.80484825,62.80484825,62.80484825,0,37.85753803,37.85753803,37.85753803,37.85753803,0
78,79,78,ER,gauss,0,l2,18.0276151,18.0276151,18.03012006,18.03574934,7.08E-09,66.62389051,66.62389051,66.62389051,66.62389051,0,38.79000944,38.79000944,38.79000944,38.79000944,0
79,80,79,ER,gauss,0,l2,19.40730776,19.40730776,19.62519151,20.07276146,6.60E-09,117.9259414,117.9259414,117.9259414,117.9259424,1.42E-14,40.8684184,40.8684184,40.8684184,40.8684184,0
80,81,80,ER,gauss,0,l2,18.6764282,18.6764282,18.67744802,18.67987025,4.52E-09,92.78083151,92.78083151,92.78083151,92.78083151,0,40.13807395,40.13807395,40.13807395,40.13807395,0
81,82,81,ER,gauss,0,l2,19.28752953,19.28752953,19.35487649,19.49430508,3.67E-09,155.3701444,155.3701444,155.3701444,155.3701444,0,40.3503423,40.3503423,40.3503423,40.3503423,0
82,83,82,ER,gauss,0,l2,19.52911818,19.52911818,19.74071856,20.17356255,6.51E-09,171.6988277,171.6988277,171.6988277,171.6988258,-2.84E-14,40.87089457,40.87089457,40.87089457,40.87089457,0
83,84,83,ER,gauss,0,l2,19.86991352,19.86991352,20.06629271,20.46872497,6.27E-09,102.6390272,102.6390272,102.6390272,102.6390291,2.84E-14,42.46031088,42.46031088,42.46031088,42.46031088,0
84,85,84,ER,gauss,0,l2,20.34734328,20.34734328,20.34816492,20.35009287,1.28E-09,228.120973,228.120973,228.120973,228.120973,0,42.5688145,42.5688145,42.5688145,42.5688145,0
85,86,85,ER,gauss,0,l2,20.89940784,20.89940784,21.0315896,21.302115,5.14E-09,109.8601493,109.8601493,109.8601493,109.8601493,0,44.23608518,44.23608518,44.23608518,44.23608518,0
86,87,86,ER,gauss,0,l2,21.1077553,21.1077553,21.14032638,21.21064702,8.07E-09,89.37565033,89.37565033,89.37565033,89.37565033,0,43.55984612,43.55984612,43.55984612,43.55984612,0
87,88,87,ER,gauss,0,l2,21.2702105,21.2702105,21.28023253,21.30247591,4.48E-09,183.7046304,183.7046304,183.7046304,183.7046304,0,44.97535742,44.97535742,44.97535742,44.97535742,0
88,89,88,ER,gauss,0,l2,20.72589307,20.72589307,20.87434466,21.17895798,5.45E-09,109.9636048,109.9636048,109.9636048,109.9636048,0,44.17957643,44.17957643,44.17957643,44.17957643,0
89,90,89,ER,gauss,0,l2,21.72146073,21.72146073,21.72338955,21.72808769,6.21E-09,83.11482207,83.11482207,83.11482207,83.11482207,0,44.62020975,44.62020975,44.62020975,44.62020975,0
90,91,90,ER,gauss,0,l2,20.4583549,20.4583549,20.4594436,20.46202508,4.67E-09,117.9526357,117.9526357,117.9526357,117.9526357,0,44.84799569,44.84799569,44.84799569,44.84799569,0
91,92,91,ER,gauss,0,l2,21.60422236,21.60422236,21.68049415,21.83891406,3.91E-09,103.0290901,103.0290901,103.0290901,103.0290901,0,45.62805879,45.62805879,45.62805879,45.62805879,0
92,93,92,ER,gauss,0,l2,21.06521097,21.06521097,21.07603037,21.09939733,4.65E-09,87.9655099,87.9655099,87.9655099,87.96551004,2.84E-14,44.23572151,44.23572151,44.23572151,44.23572151,0
93,94,93,ER,gauss,0,l2,21.79461426,21.79461426,21.79606318,21.79953383,5.38E-09,132.1918232,132.1918232,132.1918232,132.1918232,0,46.51149046,46.51149046,46.51149046,46.51149046,0
94,95,94,ER,gauss,0,l2,22.1504987,22.1504987,22.15534427,22.16603966,3.11E-09,137.6160425,137.6160425,137.6160425,137.6160425,-1.42E-14,47.18832002,47.18832002,47.18832002,47.18832002,0
95,96,95,ER,gauss,0,l2,23.73550225,23.73550225,23.73755214,23.74234096,2.02E-09,154.4276539,154.4276539,154.4276539,154.4276538,-1.42E-14,48.82030744,48.82030744,48.82030744,48.82030744,0
96,97,96,ER,gauss,0,l2,23.68216797,23.68216797,23.70651946,23.75880085,6.98E-09,150.0246196,150.0246196,150.0246196,150.0246196,0,49.38053217,49.38053217,49.38053217,49.38053217,0
97,98,97,ER,gauss,0,l2,23.47030137,23.47030137,23.47496419,23.48544287,9.66E-09,103.0304343,103.0304343,103.0304343,103.0304343,-1.42E-14,49.3165952,49.3165952,49.3165952,49.3165952,0
98,99,98,ER,gauss,0,l2,23.2635258,23.2635258,23.2654065,23.26983862,6.13E-09,284.5485201,284.5485201,284.5485201,284.5485201,0,48.78493598,48.78493598,48.78493598,48.78493598,0
99,100,99,ER,gauss,0,l2,23.10649608,23.10649608,23.10815084,23.11210304,5.75E-09,313.6490885,313.6490885,313.6490885,313.6490885,0,49.17193242,49.17193242,49.17193242,49.17193242,0
