n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
76,77,76,ER,gumbel,0,l2,29.53666328,29.53666328,29.53988073,29.54710789,2.54E-09,145.1440859,145.1440859,145.1440859,145.1440858,-2.84E-14,75.5668307,75.5668307,75.5668307,75.5668307,0
77,78,77,ER,gumbel,0,l2,30.58413936,30.58413936,30.58546205,30.58864587,5.14E-09,141.1536997,141.1536997,141.1536997,141.1536997,0,77.67559425,77.67559425,77.67559425,77.67559425,0
78,79,78,ER,gumbel,0,l2,31.10402292,31.10402292,31.10430485,31.10773994,7.51E-09,134.132777,134.132777,134.132777,134.132777,0,78.43371415,78.43371415,78.43371415,78.43371415,0
79,80,79,ER,gumbel,0,l2,30.75518146,30.75518146,30.82063617,30.95623871,3.62E-09,265.5854735,265.5854735,265.5854735,265.585474,1.42E-14,79.93387454,79.93387454,79.93387454,79.93387454,0
80,81,80,ER,gumbel,0,l2,32.70931114,32.70931114,32.72370288,32.75524342,5.37E-09,130.098758,130.098758,130.098758,130.0987578,-4.26E-14,80.05311872,80.05311872,80.05311872,80.05311872,0
81,82,81,ER,gumbel,0,l2,32.78638994,32.78638994,33.85115764,36.03133382,1.46E-08,228.1252213,228.1252213,228.1252213,228.1252234,1.42E-14,78.87723109,78.87723109,78.87723109,78.87723109,0
82,83,82,ER,gumbel,0,l2,31.47680099,31.47680099,32.97775517,36.04112873,1.73E-08,379.9826921,379.9826921,379.9826921,379.982672,-1.14E-13,82.17961398,82.17961398,82.17961398,82.17961398,0
83,84,83,ER,gumbel,0,l2,32.47454116,32.47454116,32.4789283,32.4892453,9.37E-09,188.6961263,188.6961263,188.6961263,188.6961263,0,82.15509267,82.15509267,82.15509267,82.15509267,0
84,85,84,ER,gumbel,0,l2,33.15937949,33.15937949,33.90528354,35.41526966,1.22E-08,306.1060024,306.1060024,306.1060024,306.1059989,-2.84E-14,84.5531689,84.5531689,84.5531689,84.5531689,0
85,86,85,ER,gumbel,0,l2,33.77277109,33.77277109,33.77286313,33.77490068,4.29E-09,165.0745748,165.0745748,165.0745748,165.0745748,0,84.37866402,84.37866402,84.37866402,84.37866402,0
86,87,86,ER,gumbel,0,l2,34.51454491,34.51454491,34.5150361,34.5168467,3.13E-09,197.2820075,197.2820075,197.2820075,197.2820075,0,84.57920738,84.57920738,84.57920738,84.57920738,0
87,88,87,ER,gumbel,0,l2,33.5585838,33.5585838,33.57638327,33.61519771,5.97E-09,279.1523453,279.1523453,279.1523453,279.1523453,0,86.04726163,86.04726163,86.04726163,86.04726163,0
